open_time,open,high,low,close,volume,close_time,quote_vol,trades,taker_base,taker_quote,ignore
2026-04-19 06:20:00,2328.61,2331.46,2328.07,2330.92,4291.2683,1776579899999,9997489.44835600,12531,3090.43970000,7199602.80440600,0
2026-04-19 06:25:00,2330.91,2331.14,2328.36,2328.38,2044.4149,1776580199999,4763645.69154500,6650,950.94720000,2215571.52236300,0
2026-04-19 06:30:00,2328.38,2332.0,2328.38,2330.05,521.5244,1776580499999,1215141.86835100,6223,345.95540000,806023.91267600,0
2026-04-19 06:35:00,2330.04,2332.38,2330.0,2330.05,491.1611,1776580799999,1144895.18291100,5110,338.41910000,788818.07877000,0
2026-04-19 06:40:00,2330.05,2331.92,2330.05,2330.34,264.7499,1776581099999,617086.43280000,3119,197.84540000,461156.07383500,0
2026-04-19 06:45:00,2330.35,2330.35,2328.34,2329.13,297.4891,1776581399999,693004.63790500,3216,125.22310000,291695.07700900,0
2026-04-19 06:50:00,2329.12,2329.58,2325.31,2325.96,1206.4608,1776581699999,2807292.42299700,11994,326.54120000,759942.94587600,0
2026-04-19 06:55:00,2325.97,2327.2,2325.06,2327.2,691.7956,1776581999999,1609576.63593800,3420,522.97060000,1216819.11795900,0
2026-04-19 07:00:00,2327.2,2327.32,2325.0,2325.81,427.0869,1776582299999,993449.23374300,4567,159.27830000,370503.55826300,0
2026-04-19 07:05:00,2325.8,2326.06,2319.21,2321.65,1467.286,1776582599999,3406400.53042300,9846,391.83950000,909762.15810300,0
2026-04-19 07:10:00,2321.65,2324.37,2319.71,2321.0,797.7619,1776582899999,1852535.65176300,11340,452.00190000,1049621.98855600,0
2026-04-19 07:15:00,2321.01,2322.57,2313.91,2315.51,2241.398,1776583199999,5194435.35401200,18985,638.69760000,1480544.86911500,0
2026-04-19 07:20:00,2315.51,2317.34,2300.0,2304.7,10939.8923,1776583499999,25211789.24345400,52410,3023.83260000,6969796.94691600,0
2026-04-19 07:25:00,2304.7,2307.0,2301.62,2303.27,2094.3461,1776583799999,4826068.91103900,15578,966.57710000,2227264.85566500,0
2026-04-19 07:30:00,2303.28,2309.38,2302.8,2307.13,1219.5773,1776584099999,2812811.05874000,14568,797.99080000,1840445.18613600,0
2026-04-19 07:35:00,2307.13,2310.72,2304.46,2308.13,1520.846,1776584399999,3508762.07439000,10508,772.14510000,1781887.06805400,0
2026-04-19 07:40:00,2308.12,2318.53,2308.12,2315.44,1990.2526,1776584699999,4606514.33626500,16655,1338.17530000,3096839.41537800,0
2026-04-19 07:45:00,2315.43,2315.44,2314.11,2314.63,561.1666,1776584999999,1298954.55751600,5009,346.29210000,801574.81085000,0
2026-04-19 07:50:00,2314.62,2319.0,2312.92,2317.6,1113.7783,1776585299999,2580407.63423800,8084,619.27820000,1434738.16457500,0
2026-04-19 07:55:00,2317.6,2319.47,2315.5,2316.03,923.0528,1776585599999,2139240.74657400,6913,367.74020000,852378.24091800,0
2026-04-19 08:00:00,2316.03,2317.15,2312.57,2313.58,781.5511,1776585899999,1809233.68609600,8330,292.78060000,677693.94893100,0
2026-04-19 08:05:00,2313.58,2315.36,2312.7,2313.85,499.9998,1776586199999,1156998.68517000,4781,305.96780000,708020.72241900,0
2026-04-19 08:10:00,2313.86,2318.02,2313.86,2316.67,345.5488,1776586499999,800316.26116700,5368,212.80910000,492910.63441400,0
2026-04-19 08:15:00,2316.67,2320.01,2316.1,2318.01,618.9411,1776586799999,1435334.22437500,6589,314.63390000,729511.25402700,0
2026-04-19 08:20:00,2318.01,2318.73,2317.01,2317.93,203.3922,1776587099999,471404.97410100,5235,86.38830000,200225.35764500,0
2026-04-19 08:25:00,2317.92,2318.92,2315.29,2315.39,409.1104,1776587399999,947754.12779200,6365,115.88700000,268489.42112600,0
2026-04-19 08:30:00,2315.38,2316.45,2311.2,2314.49,1475.9596,1776587699999,3414404.67576100,13861,671.41260000,1552928.37642200,0
2026-04-19 08:35:00,2314.49,2320.96,2314.17,2318.03,508.8142,1776587999999,1179215.98046800,11086,273.16310000,633078.89969900,0
2026-04-19 08:40:00,2318.02,2320.65,2317.68,2319.19,375.6537,1776588299999,871166.75905000,7135,229.94890000,533217.90933400,0
2026-04-19 08:45:00,2319.2,2320.42,2317.91,2319.83,308.0998,1776588599999,714457.75229900,6814,161.59050000,374718.09665200,0
2026-04-19 08:50:00,2319.84,2320.68,2317.1,2319.38,387.5941,1776588899999,898866.52648900,8101,187.64350000,435158.58729800,0
2026-04-19 08:55:00,2319.38,2319.41,2317.74,2318.69,371.8734,1776589199999,862164.01897500,5247,182.67450000,423522.06187900,0
2026-04-19 09:00:00,2318.69,2319.36,2317.5,2317.57,376.9136,1776589499999,873778.98604800,4973,156.51140000,362862.76584000,0
2026-04-19 09:05:00,2317.57,2318.45,2315.82,2316.99,642.869,1776589799999,1489448.12627100,7433,220.54810000,510965.82408600,0
2026-04-19 09:10:00,2316.99,2318.06,2316.7,2317.56,231.5253,1776590099999,536500.35293400,4568,187.11390000,433582.00547000,0
2026-04-19 09:15:00,2317.56,2317.93,2315.0,2315.8,356.1258,1776590399999,824805.78949800,5480,160.81080000,372438.31642600,0
2026-04-19 09:20:00,2315.81,2315.81,2311.75,2313.41,546.4728,1776590699999,1264475.22327300,6835,308.74730000,714470.64915400,0
2026-04-19 09:25:00,2313.4,2316.99,2310.0,2315.21,520.5473,1776590999999,1204380.85162900,10600,298.50280000,690802.06689300,0
2026-04-19 09:30:00,2315.21,2316.57,2313.92,2314.1,325.3049,1776591299999,753247.70192500,8603,165.92480000,384171.59660100,0
2026-04-19 09:35:00,2314.09,2315.51,2310.52,2310.52,227.5402,1776591599999,526165.19778300,6249,83.47950000,193050.16720200,0
2026-04-19 09:40:00,2310.53,2312.62,2310.52,2311.87,149.2329,1776591899999,345002.76008600,4430,86.07610000,198984.36005000,0
2026-04-19 09:45:00,2311.87,2312.19,2306.42,2309.35,945.0786,1776592199999,2182379.25687200,11851,241.98790000,558738.87057800,0
2026-04-19 09:50:00,2309.35,2311.0,2307.41,2310.99,378.3704,1776592499999,873665.00897700,6370,246.58720000,569404.38294400,0
2026-04-19 09:55:00,2310.99,2311.17,2309.34,2310.24,269.1644,1776592799999,621766.67922900,3401,80.37770000,185677.45039600,0
2026-04-19 10:00:00,2310.24,2312.74,2306.73,2311.39,285.3262,1776593099999,659193.62032400,9959,135.89650000,313977.85802800,0
2026-04-19 10:05:00,2311.39,2311.39,2307.12,2308.69,239.2795,1776593399999,552436.96442500,7000,107.66640000,248537.17855400,0
2026-04-19 10:10:00,2308.7,2310.72,2307.95,2309.78,307.3545,1776593699999,709837.38589500,5132,183.80630000,424488.64510700,0
2026-04-19 10:15:00,2309.78,2309.79,2307.67,2308.13,191.7618,1776593999999,442631.66416900,5052,105.86530000,244339.21698100,0
2026-04-19 10:20:00,2308.13,2311.49,2308.0,2309.2,418.5519,1776594299999,966854.67798900,6044,206.42690000,476823.15956500,0
2026-04-19 10:25:00,2309.19,2312.43,2309.19,2311.85,421.044,1776594599999,973099.37389800,5726,331.90520000,767067.68107700,0
2026-04-19 10:30:00,2311.84,2313.85,2311.31,2313.85,266.0957,1776594899999,615235.53243700,3768,159.46380000,368706.37927300,0
2026-04-19 10:35:00,2313.85,2314.47,2312.92,2312.93,345.9675,1776595199999,800404.23457500,3033,136.74050000,316369.33122800,0
2026-04-19 10:40:00,2312.92,2314.72,2311.82,2314.71,213.7837,1776595499999,494489.09924600,3537,125.92470000,291275.00245800,0
2026-04-19 10:45:00,2314.71,2317.14,2313.73,2317.01,280.275,1776595799999,648935.70037700,4539,189.27320000,438238.00308600,0
2026-04-19 10:50:00,2317.01,2320.15,2317.01,2318.79,577.2862,1776596099999,1338565.99541600,5678,436.94210000,1013130.61850700,0
2026-04-19 10:55:00,2318.79,2320.1,2317.7,2318.01,256.3741,1776596399999,594566.00214600,3243,128.72780000,298562.12879100,0
2026-04-19 11:00:00,2318.02,2320.98,2317.53,2319.67,355.4509,1776596699999,824522.32529200,4478,258.60750000,599866.38757800,0
2026-04-19 11:05:00,2319.67,2328.63,2319.0,2328.39,812.9535,1776596999999,1888441.23728600,9347,597.37300000,1387721.83358500,0
2026-04-19 11:10:00,2328.39,2328.4,2323.22,2327.57,980.3096,1776597299999,2279630.63525600,9396,429.30370000,998500.05945000,0
2026-04-19 11:15:00,2327.58,2331.13,2324.67,2324.67,2748.6176,1776597599999,6403025.00740600,16346,584.30360000,1361060.61394000,0
2026-04-19 11:20:00,2324.67,2327.0,2322.83,2324.94,686.7817,1776597899999,1596963.20077900,7981,377.68900000,878200.22757600,0
2026-04-19 11:25:00,2324.94,2326.63,2324.35,2325.85,318.1882,1776598199999,739938.85302500,4743,224.67960000,522494.19724700,0
2026-04-19 11:30:00,2325.84,2329.44,2325.71,2328.14,405.2485,1776598499999,943358.16619600,5510,291.64820000,678918.10598300,0
2026-04-19 11:35:00,2328.14,2328.14,2326.16,2326.2,315.4197,1776598799999,734120.91175300,3894,121.81850000,283517.89307700,0
2026-04-19 11:40:00,2326.2,2328.31,2325.73,2327.78,298.1721,1776599099999,693852.19696600,4414,192.90810000,448920.33208600,0
2026-04-19 11:45:00,2327.77,2329.26,2327.34,2328.59,438.1041,1776599399999,1020132.12169700,5131,274.85240000,640009.60290700,0
2026-04-19 11:50:00,2328.59,2330.19,2327.51,2329.84,476.3385,1776599699999,1109296.38434600,7105,325.83200000,758807.14613300,0
2026-04-19 11:55:00,2329.84,2330.98,2328.14,2329.38,381.1561,1776599999999,887932.51355900,5566,180.09860000,419582.59691900,0
2026-04-19 12:00:00,2329.38,2333.16,2328.0,2331.98,961.7267,1776600299999,2241183.32737200,10085,675.78980000,1575020.58993000,0
2026-04-19 12:05:00,2331.98,2334.0,2329.38,2332.79,1002.952,1776600599999,2338386.15705000,9805,472.07140000,1100726.35803700,0
2026-04-19 12:10:00,2332.76,2335.92,2329.72,2333.77,3629.0649,1776600899999,8466809.17126700,14611,1396.58830000,3257434.33678400,0
