open_time,open,high,low,close,volume,close_time,quote_vol,trades,taker_base,taker_quote,ignore
2026-04-19 22:10:00,74185.74,74185.74,73984.91,74021.14,72.19724,1776636899999,5346048.92483100,23778,32.60867000,2414465.79346190,0
2026-04-19 22:15:00,74021.14,74070.0,73850.0,74044.36,56.61563,1776637199999,4186666.54666230,28419,29.22941000,2161436.11844800,0
2026-04-19 22:20:00,74044.35,74044.35,73762.9,73942.62,119.83586,1776637499999,8848160.86734100,31394,42.70350000,3153247.85594370,0
2026-04-19 22:25:00,73942.62,74025.87,73818.64,73943.57,42.0963,1776637799999,3111395.95375950,16319,19.83627000,1466134.41749650,0
2026-04-19 22:30:00,73943.57,74121.01,73920.0,74043.63,49.36586,1776638099999,3653998.33342180,15868,35.14903000,2601369.62890920,0
2026-04-19 22:35:00,74043.63,74181.81,74034.38,74107.3,69.13509,1776638399999,5123685.18412310,14119,38.50064000,2853425.40961180,0
2026-04-19 22:40:00,74107.3,74170.0,74098.36,74140.59,19.63807,1776638699999,1455736.69387400,8602,14.23249000,1055019.14646450,0
2026-04-19 22:45:00,74140.59,74165.91,74028.88,74048.36,39.25039,1776638999999,2907376.07574820,9792,16.26424000,1204720.87548180,0
2026-04-19 22:50:00,74048.36,74180.0,74048.36,74136.92,36.55282,1776639299999,2709704.30273470,9266,18.46557000,1368696.41518760,0
2026-04-19 22:55:00,74136.91,74196.98,74047.33,74047.34,18.19658,1776639599999,1348941.58853920,8922,8.35045000,619126.65780730,0
2026-04-19 23:00:00,74047.34,74054.22,73822.13,73922.6,99.38742,1776639899999,7347537.94773710,20653,25.58873000,1891247.44410600,0
2026-04-19 23:05:00,73922.59,73970.0,73859.57,73951.8,40.30823,1776640199999,2979327.12180710,11496,22.79357000,1684811.56871510,0
2026-04-19 23:10:00,73951.8,74030.0,73921.58,74026.01,31.59683,1776640499999,2337541.20405190,8938,12.19457000,901871.83235310,0
2026-04-19 23:15:00,74026.01,74026.01,73790.0,73930.38,57.34423,1776640799999,4236421.65355290,15432,23.07267000,1704701.17914290,0
2026-04-19 23:20:00,73930.39,73947.24,73800.0,73863.61,26.24425,1776641099999,1938921.23615760,8880,13.81298000,1020496.21051930,0
2026-04-19 23:25:00,73863.61,73940.2,73854.0,73882.07,21.52931,1776641399999,1591076.44325500,8168,10.59949000,783352.73094030,0
2026-04-19 23:30:00,73882.07,73952.31,73814.5,73863.52,32.77412,1776641699999,2421119.50678430,14274,14.06444000,1039159.68349750,0
2026-04-19 23:35:00,73863.52,73955.99,73819.08,73871.03,23.71764,1776641999999,1752405.74480190,10702,12.16663000,898953.13865630,0
2026-04-19 23:40:00,73871.04,73897.51,73823.69,73888.92,25.19334,1776642299999,1860886.56159980,9317,8.11656000,599518.31670610,0
2026-04-19 23:45:00,73888.93,73931.03,73839.7,73916.01,13.04852,1776642599999,963930.41776490,7427,8.22514000,607616.91667440,0
2026-04-19 23:50:00,73916.01,73977.41,73885.28,73919.04,25.81394,1776642899999,1908671.95427170,8635,16.06161000,1187566.92275500,0
2026-04-19 23:55:00,73919.05,73919.05,73795.0,73801.79,18.6835,1776643199999,1379573.52224830,5638,7.17855000,530126.22500650,0
2026-04-20 00:00:00,73801.8,74187.79,73724.31,74069.97,131.47242,1776643499999,9719809.61015080,25849,82.62041000,6109330.48111940,0
2026-04-20 00:05:00,74069.97,74115.74,73879.82,74071.14,121.11216,1776643799999,8963092.58056830,22199,52.26088000,3868687.97453050,0
2026-04-20 00:10:00,74071.14,74133.34,74040.42,74044.28,52.4841,1776644099999,3887692.14913840,10994,15.74005000,1165999.89857560,0
2026-04-20 00:15:00,74044.29,74187.23,74044.28,74135.19,67.38851,1776644399999,4995220.54308700,13833,42.61396000,3158219.71654870,0
2026-04-20 00:20:00,74135.18,74248.0,74122.01,74248.0,34.79876,1776644699999,2581826.05749370,9651,22.41000000,1662620.10045490,0
2026-04-20 00:25:00,74248.0,74280.0,74201.57,74228.92,64.14511,1776644999999,4761722.02601960,9612,43.68612000,3242944.53996080,0
2026-04-20 00:30:00,74228.92,74274.25,74188.88,74217.81,68.3586,1776645299999,5074075.04263850,8886,22.48071000,1668701.45004550,0
2026-04-20 00:35:00,74217.81,74229.7,74150.0,74155.88,69.30981,1776645599999,5142989.63996820,7389,45.25005000,3357784.14377980,0
2026-04-20 00:40:00,74155.88,74211.44,74155.87,74184.58,33.92576,1776645899999,2516987.97474530,6412,20.63240000,1530766.42529730,0
2026-04-20 00:45:00,74184.58,74264.29,74171.86,74240.51,39.23076,1776646199999,2911604.36550020,6965,25.61043000,1900651.27213200,0
2026-04-20 00:50:00,74240.52,74360.43,74240.52,74305.96,53.91857,1776646499999,4007479.55978450,8356,39.47401000,2933765.66055440,0
2026-04-20 00:55:00,74305.97,74341.94,74280.0,74280.01,51.78912,1776646799999,3848158.38077460,6598,16.85922000,1252757.14758880,0
2026-04-20 01:00:00,74280.01,74363.5,74260.0,74286.35,168.06377,1776647099999,12487087.46510960,11245,60.27599000,4477989.55450630,0
2026-04-20 01:05:00,74286.35,74354.23,74214.67,74280.04,52.17077,1776647399999,3874641.83147720,9553,16.11128000,1196851.04552480,0
2026-04-20 01:10:00,74280.04,74360.0,74259.91,74360.0,20.9967,1776647699999,1560549.80218570,6136,10.61314000,788881.71207000,0
2026-04-20 01:15:00,74360.0,74360.0,74275.35,74291.72,34.94701,1776647999999,2597193.65018850,6534,11.75995000,873959.65930880,0
2026-04-20 01:20:00,74291.72,74291.72,74217.26,74238.18,21.16587,1776648299999,1571600.51309870,5945,7.98248000,592633.28304860,0
2026-04-20 01:25:00,74238.18,74302.01,74238.18,74298.03,17.70103,1776648599999,1314706.39240200,3862,10.68789000,793826.70310050,0
2026-04-20 01:30:00,74298.03,74631.84,74298.02,74604.0,219.65126,1776648899999,16374446.46455370,25362,179.86568000,13407630.53229300,0
2026-04-20 01:35:00,74604.0,74657.18,74550.0,74604.91,35.41744,1776649199999,2642340.45054940,9942,17.66954000,1318360.60395390,0
2026-04-20 01:40:00,74604.91,74706.0,74586.0,74681.18,32.18726,1776649499999,2402780.09532140,10488,17.94761000,1339803.23645630,0
2026-04-20 01:45:00,74681.19,74746.93,74673.08,74728.36,34.45513,1776649799999,2574181.43170010,8006,20.65207000,1543059.34923030,0
2026-04-20 01:50:00,74728.35,74728.36,74667.78,74693.2,25.76283,1776650099999,1924403.93543200,7007,10.81840000,808043.93685290,0
2026-04-20 01:55:00,74693.2,74693.2,74560.0,74595.13,27.09109,1776650399999,2021138.04926590,6701,9.65018000,719931.90914880,0
2026-04-20 02:00:00,74595.12,74627.99,74498.64,74498.64,41.19278,1776650699999,3070294.39223560,11696,16.31076000,1215809.20481500,0
2026-04-20 02:05:00,74498.64,74558.92,74472.13,74549.94,19.37875,1776650999999,1443910.63702160,4591,11.06131000,824046.93832790,0
2026-04-20 02:10:00,74549.94,74550.0,74344.72,74393.71,20.82395,1776651299999,1549964.35117950,9729,6.07450000,452124.13568380,0
2026-04-20 02:15:00,74393.71,74472.0,74304.84,74372.01,61.54399,1776651599999,4578594.25000530,11368,10.30253000,766374.52868800,0
2026-04-20 02:20:00,74372.0,74451.77,74358.39,74446.08,62.30536,1776651899999,4635310.35203960,8652,48.29543000,3592984.77085280,0
2026-04-20 02:25:00,74446.09,74472.0,74400.0,74451.55,23.70322,1776652199999,1764399.11987930,5937,5.03335000,374641.74799600,0
2026-04-20 02:30:00,74451.55,74491.1,74402.16,74485.99,64.97163,1776652499999,4836989.43768210,8984,43.55492000,3242659.40804360,0
2026-04-20 02:35:00,74485.98,74513.34,74459.92,74504.0,64.72689,1776652799999,4820876.35634510,6729,30.38213000,2263043.70624110,0
2026-04-20 02:40:00,74504.01,74517.01,74431.32,74517.01,94.90806,1776653099999,7069840.09266710,8007,55.79651000,4156294.36410770,0
2026-04-20 02:45:00,74517.0,74517.01,74433.97,74487.99,74.65351,1776653399999,5561027.45602030,8496,11.29144000,840880.08561890,0
2026-04-20 02:50:00,74487.99,74499.55,74450.0,74498.0,103.56767,1776653699999,7714585.76619480,5877,26.85109000,1999993.42648690,0
2026-04-20 02:55:00,74498.0,74498.0,74410.0,74410.01,107.91395,1776653999999,8035953.18516960,8190,25.76949000,1918817.23584270,0
