open_time,open,high,low,close,volume,amount
2026-04-21 04:05:00+00:00,75726.07,75726.08,75645.45,75645.45,10.97892,830839.76253
2026-04-21 04:10:00+00:00,75645.45,75662.16,75611.05,75611.05,8.73432,660712.0590514
2026-04-21 04:15:00+00:00,75611.05,75663.78,75600.0,75600.01,22.24389,1682413.7546644
2026-04-21 04:20:00+00:00,75600.0,75652.58,75600.0,75644.91,15.31222,1157983.7295271
2026-04-21 04:25:00+00:00,75644.91,75712.89,75632.43,75633.63,18.67039,1412795.0426187
2026-04-21 04:30:00+00:00,75633.63,75673.3,75623.2,75623.2,25.10118,1899005.2815872
2026-04-21 04:35:00+00:00,75623.21,75729.46,75623.21,75704.29,31.98663,2421376.1246017
2026-04-21 04:40:00+00:00,75704.29,75712.0,75650.0,75711.19,26.6401,2016183.1250029
2026-04-21 04:45:00+00:00,75711.19,75733.29,75689.91,75721.12,19.97802,1512685.1359789
2026-04-21 04:50:00+00:00,75721.13,75790.02,75721.12,75753.74,15.82577,1198952.4421019
2026-04-21 04:55:00+00:00,75753.74,75823.49,75749.99,75813.81,28.31099,2145944.3062112
2026-04-21 05:00:00+00:00,75813.8,75852.0,75804.0,75846.69,18.05065,1368683.4464799
2026-04-21 05:05:00+00:00,75846.68,75970.68,75842.3,75931.81,40.33343,3061461.9297588
2026-04-21 05:10:00+00:00,75931.81,75931.81,75867.52,75900.0,18.15156,1377618.4000734
2026-04-21 05:15:00+00:00,75900.0,75922.6,75870.93,75879.75,19.7069,1495454.8399133
2026-04-21 05:20:00+00:00,75879.74,75975.61,75879.74,75970.13,73.30277,5565755.2919181
2026-04-21 05:25:00+00:00,75970.13,75981.1,75850.0,75892.42,44.47005,3376470.9347467
2026-04-21 05:30:00+00:00,75892.41,75892.42,75829.79,75859.81,11.41673,866065.4087936
2026-04-21 05:35:00+00:00,75859.8,75879.32,75834.81,75834.82,9.95671,755338.1995583
2026-04-21 05:40:00+00:00,75834.82,75864.28,75834.82,75841.62,15.40797,1168745.5723396
2026-04-21 05:45:00+00:00,75841.62,75841.62,75782.75,75809.12,28.17588,2136049.674112
2026-04-21 05:50:00+00:00,75809.13,75829.77,75783.55,75829.77,18.04045,1367565.9890921
2026-04-21 05:55:00+00:00,75829.76,75829.77,75798.18,75802.0,24.52548,1859443.0341289
